Game_ID,TEAM_ID_away,TEAM_ID_home,HOME_TEAM_WINS,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTT_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,MIN_home,FTM_home,FTA_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,AWAY_TEAM_WINS,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTT_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,MIN_away,FTM_away,FTA_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,OREB,Total,Spread,AVG_HEIGHT_home,AVG_WEIGHT_home,STARTERS_PM_home,AVG_HEIGHT_away,AVG_WEIGHT_away,STARTERS_PM_away,BULLY_BALL_home,BULLY_BALL_away
21400533,1610612754,1610612744,1,45,91,0.495,12,28,0.428571429,0.75,33,63,0.523809524,240,15,20,10,29,30,11,3,11,23,117,0,37,81,0.457,6,26,0.230769231,0.957,31,55,0.563636364,240,22,23,5,36,24,4,2,17,19,102,15,219,15,79.2,220.7,84,79.8,233.6,-49,0.12026503375825556,0.20220406141654276
21400810,1610612745,1610612742,1,44,93,0.473,9,24,0.375,0.778,35,69,0.507246377,240,14,18,12,38,26,10,2,17,19,111,0,36,87,0.414,12,37,0.324324324,0.615,24,50,0.48,240,16,26,14,33,20,8,9,21,22,100,26,211,11,78.4,212.5,34,79.11111111111111,213.33333333333337,-28,0.05286647875267195,0.06963912716328081
21400680,1610612764,1610612747,0,37,87,0.425,5,20,0.25,0.813,32,67,0.47761194,240,13,16,8,30,17,9,4,11,19,92,1,38,78,0.487,4,16,0.25,0.667,34,62,0.548387097,240,18,27,9,42,19,8,2,16,18,98,17,190,-6,79.77777777777777,225.77777777777777,-11,79.18181818181819,223.45454545454547,40,0.15440020445642189,0.14108270841605314
21400917,1610612765,1610612745,1,38,91,0.418,6,28,0.214285714,0.84,32,63,0.507936508,240,21,25,13,42,23,6,6,19,16,103,0,37,102,0.363,6,29,0.206896552,0.765,31,73,0.424657534,240,13,17,19,31,20,12,5,13,22,93,32,196,10,78.5,207.5,14,79.0909090909091,226.9090909090909,-18,0.04395318549277245,0.1573931944052165
21200258,1610612757,1610612754,1,36,80,0.45,9,26,0.346153846,0.947,27,54,0.5,240,18,19,13,33,20,6,7,15,12,99,0,34,79,0.43,6,22,0.272727273,0.818,28,57,0.49122807,240,18,22,9,28,18,5,3,12,15,92,22,191,7,79,223.66666666666663,25,79.63636363636364,223,-18,0.1324567448860178,0.14529864019091365
21400166,1610612763,1610612761,1,38,83,0.458,9,26,0.346153846,0.846,29,57,0.50877193,240,11,13,7,28,24,9,6,8,20,96,0,35,80,0.438,3,10,0.3,0.731,32,70,0.457142857,240,19,26,15,35,16,8,4,13,16,92,22,188,4,78.2,220.9,-19,78.44444444444444,222.33333333333337,-11,0.10712264774231538,0.12478426399818995
21200670,1610612764,1610612755,1,40,95,0.421,6,13,0.461538462,0.6,34,82,0.414634146,240,6,10,11,32,27,9,6,11,17,92,0,30,75,0.4,7,22,0.318181818,0.81,23,53,0.433962264,240,17,21,8,38,22,5,6,19,15,84,19,176,8,79.88888888888889,224.44444444444449,6,79.4,226.5,-6,0.11641418309185272,0.12586693002257346
21200928,1610612762,1610612752,1,38,75,0.507,13,32,0.40625,0.8,25,43,0.581395349,240,24,30,8,31,21,11,3,12,19,113,0,30,78,0.385,8,26,0.307692308,0.762,22,52,0.423076923,240,16,21,11,29,13,4,2,20,23,84,19,197,29,79.16666666666667,220.91666666666663,80,78.15384615384616,221.07692307692307,-118,0.09433927459912692,0.09000466427130785
21400237,1610612766,1610612737,1,40,75,0.533,12,23,0.52173913,0.813,28,52,0.538461538,240,13,16,5,39,31,8,5,14,17,105,0,29,88,0.33,5,23,0.217391304,0.75,24,65,0.369230769,240,12,16,13,25,20,3,4,12,16,75,18,180,30,78.08333333333333,219.58333333333337,132,77.81818181818181,226.27272727272728,-136,0.09888180970835678,0.13557481474204416
21200316,1610612758,1610612749,1,39,96,0.406,6,17,0.352941176,0.583,33,79,0.417721519,240,14,24,24,36,22,8,6,10,18,98,0,32,86,0.372,3,19,0.157894737,0.857,29,67,0.432835821,240,18,21,16,34,14,3,6,17,20,85,40,183,13,78.8,217,44,77.54545454545455,214.54545454545453,-56,0.09592092030709602,0.07294664188828702
21400107,1610612766,1610612757,1,40,93,0.43,8,25,0.32,0.875,32,68,0.470588235,240,14,16,15,33,25,6,4,12,21,102,0,35,75,0.467,7,16,0.4375,0.852,28,59,0.474576271,240,23,27,6,32,16,5,3,13,16,100,21,202,2,79.2,221.5,14,77.8,225.6,6,0.09701817895322506,0.10390428893905192
21400090,1610612753,1610612751,1,40,83,0.482,4,14,0.285714286,0.87,36,69,0.52173913,240,20,23,14,31,23,10,5,15,21,104,0,39,75,0.52,8,15,0.533333333,0.625,31,60,0.516666667,240,10,16,5,26,25,7,2,17,24,96,19,200,8,79.88888888888889,233.77777777777777,55,78.1,218.1,-38,0.1969689177181587,0.09852301572560654
21401131,1610612765,1610612741,1,33,85,0.388,4,17,0.235294118,0.857,29,68,0.426470588,240,18,21,19,25,18,9,5,12,15,88,0,32,74,0.432,6,19,0.315789474,0.8,26,55,0.472727273,240,12,15,11,31,14,9,12,18,20,82,30,170,6,79.44444444444444,221,21,78.4,222.2,7,0.12525013075241392,0.12347284134059762
21200158,1610612765,1610612753,1,36,83,0.434,5,20,0.25,0.722,31,63,0.492063492,240,13,18,9,44,24,3,5,15,23,90,0,28,85,0.329,3,17,0.176470588,0.682,25,68,0.367647059,240,15,22,13,35,15,5,2,15,16,74,22,164,16,78.08333333333333,224.66666666666663,84,79.38461538461539,223.76923076923077,-60,0.12432081934486892,0.1456162755596977
21300036,1610612763,1610612742,1,32,80,0.4,7,19,0.368421053,0.87,25,61,0.409836066,240,40,46,14,31,18,12,4,11,20,111,0,37,87,0.425,3,16,0.1875,0.846,34,71,0.478873239,240,22,26,17,34,20,6,2,18,34,99,31,210,12,78.44444444444444,225.44444444444449,35,79.41666666666667,221.41666666666663,-4,0.1041232716793407,0.10555464164785562
21300694,1610612761,1610612743,0,36,80,0.45,8,21,0.380952381,0.714,28,59,0.474576271,240,10,14,12,37,27,9,6,26,19,90,1,37,85,0.435,8,21,0.380952381,0.9,29,64,0.453125,240,18,20,9,31,24,10,7,15,18,100,21,190,-10,80.11111111111111,228.88888888888889,12,78.55555555555556,225.44444444444449,22,0.1751971572328439,0.1421388463404244
21301099,1610612763,1610612757,1,39,75,0.52,5,15,0.333333333,0.88,34,60,0.566666667,240,22,25,7,32,23,6,3,13,16,105,0,41,89,0.461,5,17,0.294117647,0.611,36,72,0.5,240,11,18,13,28,28,11,2,11,19,98,20,203,7,79,221.88888888888889,2,79,221.58333333333337,-26,0.09633911011109306,0.10153764108352156
21200419,1610612747,1610612743,1,45,94,0.479,12,22,0.545454545,0.75,33,72,0.458333333,240,24,32,20,28,31,10,7,11,23,126,0,41,83,0.494,11,29,0.379310345,0.7,30,54,0.555555556,240,21,30,11,27,29,2,8,15,23,114,31,240,12,79.9,226.4,45,78.33333333333333,222.22222222222223,-37,0.12435342279284262,0.096576674191121
21300099,1610612763,1610612754,1,37,76,0.487,6,19,0.315789474,0.833,31,57,0.543859649,240,15,18,9,36,25,5,9,13,22,95,0,31,75,0.413,4,8,0.5,0.684,27,67,0.402985075,240,13,19,7,25,19,6,4,10,20,79,16,174,16,79.08333333333333,225.5,65,79.36363636363636,220,-41,0.11154661232140088,0.09924785553047404
21401176,1610612766,1610612737,1,41,82,0.5,10,28,0.357142857,0.75,31,54,0.574074074,240,12,16,9,35,31,10,4,14,18,104,0,30,83,0.361,8,30,0.266666667,0.667,22,53,0.41509434,240,12,18,12,34,21,8,3,15,15,80,21,184,24,78.61538461538461,219.84615384615384,72,77,220.9,-60,0.10769368978730733,0.09695522742281652
21200237,1610612762,1610612745,1,46,83,0.554,11,22,0.5,0.808,35,61,0.573770492,240,21,26,10,28,26,9,7,16,17,124,0,48,94,0.511,11,20,0.55,0.818,37,74,0.5,240,9,11,12,26,25,8,6,15,22,116,22,240,8,79,225.88888888888889,11,78.1,225.6,13,0.11214329822094216,0.10734176072234748
21200531,1610612745,1610612738,1,41,79,0.519,9,23,0.391304348,0.75,32,56,0.571428571,240,12,16,8,35,22,8,6,16,29,103,0,35,80,0.438,9,33,0.272727273,0.414,26,47,0.553191489,240,12,29,12,26,23,9,1,14,21,91,20,194,12,78.6,223.5,18,79.36363636363636,224.1818181818182,-34,0.09823350101357102,0.11610428147678298
21400558,1610612764,1610612737,1,42,89,0.472,16,31,0.516129032,0.833,26,58,0.448275862,240,20,24,13,29,34,14,3,9,15,120,0,36,76,0.474,5,20,0.25,0.8,31,56,0.553571429,240,12,15,8,31,25,5,7,20,16,89,21,209,31,78.25,220.08333333333337,81,79.38461538461539,226.3846153846154,-59,0.10373488039220204,0.159006084211822
21200023,1610612758,1610612750,1,32,87,0.368,2,17,0.117647059,0.722,30,70,0.428571429,240,26,36,17,36,17,4,10,11,17,92,0,32,89,0.36,3,16,0.1875,0.813,29,73,0.397260274,240,13,16,11,32,17,7,4,12,34,80,28,172,12,78.6,223.4,-17,77.75,218.75,-32,0.09784039684096524,0.0762812217832957
21200208,1610612754,1610612747,0,24,76,0.316,6,28,0.214285714,0.535,18,48,0.375,240,23,43,15,41,13,10,5,21,25,77,1,29,79,0.367,4,19,0.210526316,0.63,25,60,0.416666667,240,17,27,10,40,17,9,6,17,32,79,25,156,-2,79,228.55555555555551,-38,79,223.66666666666663,43,0.12267942362750812,0.1098968397291195
21401156,1610612744,1610612740,1,36,83,0.434,9,19,0.473684211,0.733,27,64,0.421875,240,22,30,8,37,25,8,8,12,13,103,0,42,95,0.442,9,22,0.409090909,0.7,33,73,0.452054795,240,7,10,11,39,25,6,12,12,21,100,19,203,3,79.3,226.1,8,78.9,222.1,-8,0.14912431884124483,0.1301290087914811
21301070,1610612763,1610612762,0,32,69,0.464,5,16,0.3125,0.692,27,53,0.509433962,240,18,26,6,29,22,9,4,13,14,87,1,36,79,0.456,4,9,0.444444444,0.938,32,70,0.457142857,240,15,16,10,31,22,6,2,10,20,91,16,178,-4,78.75,223.125,-10,79.45454545454545,224,21,0.12613916309751483,0.14780794572770786
